Symbol,Price
BECTORFOOD,212.64
BEDMUTHA,138.6
BEL,443.9
BELLACASA,314.35
BELRISE,188.27
BEML,1740.4
BEPL,85.96
BERGEPAINT,460.75
BESTAGRO,19.26
BETA,1344.3
BFINVEST,414.15
BFUTILITIE,535.35
BGRENERGY,345.9
BHAGCHEM,217.49
BHAGERIA,159.15
BHAGYANGR,161.53
BHANDARI,4.02
BHARATCOAL,36.03
BHARATFORG,1726.7
BHARATGEAR,112.21
BHARATRAS,1745.6
BHARATSE,168.37
BHARATWIRE,175.79
BHARTIARTL,2014.5
BHARTIHEXA,1681.9
BHEL,260.6
BIGBLOC,57.08
BIKAJI,654.3
BIL,892.45
BILVYAPAR,7.17
BIOCON,375.05
BIOFILCHEM,36.95
BIRLACABLE,143.41
BIRLACORPN,1075.0
BIRLAMONEY,135.9
BIRLANU,1803.8
BLACKBUCK,636.0
BLAL,191.04
BLBLIMITED,14.12
BLISSGVS,218.2
BLKASHYAP,51.92
BLS,280.45
BLSE,166.4
BLUECHIP,2.47
BLUECOAST,25.55
BLUEDART,5833.5
BLUEJET,441.4
BLUESTARCO,1974.0
BLUESTONE,450.7
BLUSPRING,64.35
BMWVENTLTD,57.57
BODALCHEM,51.29
BOHRAIND,19.9
BOMDYEING,119.61
BORANA,377.85
BOROLTD,252.45
BORORENEW,505.8
BOROSCI,116.55
BOSCH-HCIL,1381.9
BOSCHLTD,36495.0
BPCL,377.7
BPL,59.49
BRIGADE,796.55
BRIGHOTEL,62.29
BRITANNIA,6102.0
BRNL,20.73
BROOKS,77.35
BSE,3143.2
BSHSL,89.35
BSL,138.77
BSOFT,433.85
BTML,7.54
BUILDPRO,925.85
BUTTERFLY,636.2
BVCL,45.8
BYKE,51.51
CALSOFT,14.29
CAMLINFINE,169.55
CAMPUS,276.15
CAMS,730.4
CANBK,144.81
CANFINHOME,888.4
CANHLIFE,147.09
CANTABIL,311.0
CAPACITE,264.63
CAPILLARY,562.15
CAPITALSFB,270.9
CAPLIPOINT,1736.8
CAPTRUST,13.97
CARBORUNIV,835.75
CARERATING,1614.6
CARRARO,573.65
CARTRADE,2128.6
CARYSIL,968.9
CASTROLIND,186.71
CCAVENUE,18.59
CCCL,17.43
CCHHL,14.18
CCL,994.15
CDSL,1370.2
CEATLTD,3988.0
CEIGALL,299.3
CELEBRITY,8.95
CELLO,507.65
CEMPRO,619.95
CENTENKA,456.1
CENTEXT,22.62
CENTRALBK,37.43
